frame_idx,scale,timestamp_vlc,g00_gravitational_metric,F_01_Ex,F_02_Ey,F_03_Ez,F_12_Bx,F_23_By,F_31_Bz,K_Scale_Invariant,sha256_hash_frame
0,MICRO (ATOM),1782384000.0,0.5766061225917904,0.0,2.618033988749895,0.0,1.618033988749895,0.0,4.23606797749979,1.8162141139938286,dcdabb3d11e81ea57fc7035b74e1edfddc82349981f743185f8b54d8463617ee
1,MICRO (ATOM),1782384000.0025,0.5766061225917904,-1.319461130662845,-1.5153096180585583,1.4241889275521928,-0.9365128474398104,-2.1349329562468493,3.9894808946323947,1.8162141139938286,d3dafd0576ac186592f11f724e780c48958f01afc511ce9dcb58f1518979dda4
2,MICRO (ATOM),1782384000.005,0.5766061225917904,1.5273996827692327,-0.8639213619102515,2.6825700375894193,-0.5339327652676342,2.4713846011264256,3.2784279622140033,1.8162141139938286,077db5ef5876cb7fe0228a4d777088f998a971c8f7f1c7664a7d29203bdff73f
3,MICRO (ATOM),1782384000.0075,0.5766061225917904,-0.44864687699901423,2.5153794067429684,3.6286392944315686,1.554589967968701,-0.7259258959308985,2.185691831184425,1.8162141139938286,7c763f07bc67233fe54f40db0a805bf56c7c91ffc6d1a7f4ffdb4e37a7896b27
4,MICRO (ATOM),1782384000.01,0.5766061225917904,-1.0080489556587957,-2.04786559309721,4.152252829059355,-1.2656505409255376,-1.631057472579767,0.8384917134758942,1.8162141139938286,bbb3a19db48c05f21ebb430c41219f11fd5f70239e26cdd534a2160d84355859
5,MICRO (ATOM),1782384000.0125,0.5766061225917904,1.6155578373208428,-0.14478342285114534,4.192450177788282,-0.08948107632955603,2.614027491576397,-0.6063278129544803,1.8162141139938286,3125cd022ba650d76a14fe8de966d9896ee14b9acaac44a22fd66bf3033b6e5c
6,MICRO (ATOM),1782384000.015,0.5766061225917904,-0.8621103623194214,2.2154659482679575,3.7445514596463014,1.369233256947614,-1.3949238682863103,-1.980557062056005,1.8162141139938286,123d2ea12cf20b447bfebf5d4f174a94a571bdff83a6f734b04a72476ae21f07
7,MICRO (ATOM),1782384000.0175,0.5766061225917904,-0.6175844500659591,-2.419825649695437,2.860702220414719,-1.4955344983605767,-0.9992726311301341,-3.1242046533659495,1.8162141139938286,b4b6e0d08512044cf3a2b4c97682b4efee0341570ef089a3da5bf39e2909dc9b
8,MICRO (ATOM),1782384000.02,0.5766061225917904,1.5770221328844891,0.5857085947403174,1.6438025111570727,0.3619878190524541,2.5516754120179566,-3.904124128958103,1.8162141139938286,58ab89d6774bc2ea14857f657b8734191a0862b0615902d9877410d006b2bbb2
9,MICRO (ATOM),1782384000.0225,0.5766061225917904,-1.207966185349708,1.7418131633767602,0.23552699386739595,1.0764997370188114,-1.9545303451563827,-4.22951521396471,1.8162141139938286,eb86ecb82287521adaf935b06b4017f72b87f33235caa6e396d7592204de2c36
10,MICRO (ATOM),1782384000.025,0.5766061225917904,-0.17868827869037332,-2.602020262707703,-1.2001691949803546,-1.608136961769291,-0.2891237083122376,-4.062495023187028,1.8162141139938286,436762cd237af373a24aa3f9b11e956b7efb1fc6743d0bf859ce66061cdff604
11,MICRO (ATOM),1782384000.0275,0.5766061225917904,1.4148145826565295,1.2702686869027648,-2.496138532271679,0.785069223350607,2.289218082517262,-3.422508486141086,1.8162141139938286,993b2524bdd336401063864059dc6dc2dfe99c556299e3186ba6d64e8f501f6f
12,MICRO (ATOM),1782384000.03,0.5766061225917904,-1.4590919442414412,1.1315654351128466,-3.501500862132929,0.6993458993943029,-2.360860358493818,-2.3840645172648984,1.8162141139938286,3f4839f0477662e9c5f45529e3165df07a03f49fc63375e62ff21527463a2516
13,MICRO (ATOM),1782384000.0325,0.5766061225917904,0.27422082806902637,-2.5801615260769717,-4.09920926017003,-1.5946275195803665,0.4436986202388259,-1.0680614923006242,1.8162141139938286,8a1e81484205305824deb18f4f263ed91185f938cd7966cf654c7693afcb701b
